seq_idx,baseline_rmsd_A,framework_rmsd_A,paired_diff_A
746,0.727563,0.727999,-0.000436
747,0.715597,0.880089,-0.164492
748,0.799562,1.012446,-0.212884
749,0.947996,0.707471,0.240524
75,0.993218,0.981979,0.011239
750,0.848346,0.923949,-0.075604
751,1.053298,0.666490,0.386808
752,0.884398,0.769627,0.114771
753,1.088392,0.889691,0.198701
754,0.856543,0.975536,-0.118993
755,0.968144,0.869070,0.099075
756,0.890876,0.787674,0.103202
757,1.029671,1.086282,-0.056611
758,0.911305,0.951797,-0.040493
759,0.951446,1.176376,-0.224931
76,0.799872,0.884557,-0.084686
760,0.981984,0.878657,0.103327
761,0.926754,1.075419,-0.148665
762,1.029945,1.065670,-0.035725
763,0.966242,0.909465,0.056777
764,0.888999,1.302165,-0.413166
765,0.958899,0.900806,0.058092
766,0.905087,0.810627,0.094461
767,0.961024,0.901467,0.059557
768,0.952115,0.799985,0.152130
769,0.839617,0.762378,0.077240
77,1.071105,0.780921,0.290184
770,0.954016,0.901757,0.052259
771,0.916469,0.709090,0.207380
772,0.925295,0.973924,-0.048629
773,0.947852,0.955716,-0.007864
774,1.081818,0.962556,0.119262
775,1.151574,0.813511,0.338063
776,0.876255,0.737528,0.138727
777,0.962254,0.972421,-0.010167
778,0.897298,0.752459,0.144839
779,0.896891,1.027192,-0.130300
78,0.761366,0.838651,-0.077284
780,0.856486,1.008493,-0.152007
781,0.824541,1.000485,-0.175944
782,1.066995,0.779712,0.287283
783,0.919692,0.932491,-0.012799
784,0.939824,0.900056,0.039768
785,0.931159,1.061272,-0.130114
786,0.856988,0.700609,0.156380
787,0.878100,0.759515,0.118585
788,1.048432,1.133843,-0.085411
789,1.053231,0.861249,0.191982
79,0.743158,0.892992,-0.149834
790,0.886717,0.789132,0.097585
791,1.215294,1.009489,0.205805
792,1.010879,0.821427,0.189452
793,0.847947,0.967433,-0.119486
794,0.924129,0.699772,0.224357
795,1.039976,0.951413,0.088563
796,0.911223,0.849162,0.062061
797,1.088719,0.925526,0.163193
798,0.922489,0.624945,0.297544
799,1.141812,0.952429,0.189383
8,0.779444,0.879489,-0.100045
80,0.844867,0.825074,0.019793
800,0.899397,1.075197,-0.175800
801,0.965032,0.886693,0.078340
802,0.867579,1.118166,-0.250587
803,0.785887,0.994495,-0.208608
804,0.879849,0.862258,0.017591
805,0.835703,1.028634,-0.192932
806,0.890385,0.704721,0.185664
807,0.991776,0.898495,0.093281
808,0.923224,1.410394,-0.487170
809,0.980689,0.841989,0.138700
81,0.901687,0.891345,0.010342
